iter	Passed	Remaining
0	100	25139
1	146	18185
2	188	15548
3	230	14172
4	271	13305
5	315	12838
6	366	12706
7	412	12475
8	461	12351
9	505	12134
10	555	12065
11	598	11861
12	642	11713
13	686	11571
14	730	11442
15	773	11314
16	822	11268
17	866	11163
18	909	11057
19	958	11024
20	1015	11072
21	1125	11665
22	1188	11728
23	1249	11762
24	1319	11876
25	1466	12636
26	1568	12956
27	1637	12983
28	1707	13015
29	1780	13056
30	1841	13009
31	1896	12917
32	1975	12992
33	2058	13077
34	2121	13033
35	2187	13004
36	2260	13011
37	2346	13088
38	2422	13107
39	2487	13059
40	2559	13045
41	2612	12938
42	2671	12858
43	2732	12794
44	2789	12709
45	2850	12642
46	2908	12560
47	2978	12536
48	3039	12468
49	3106	12424
50	3200	12488
51	3284	12506
52	3355	12473
53	3412	12384
54	3473	12313
55	3529	12227
56	3592	12163
57	3656	12104
58	3713	12020
59	3764	11920
60	3838	11894
61	3891	11800
62	3945	11712
63	4005	11642
64	4063	11564
65	4116	11477
66	4188	11439
67	4269	11425
68	4326	11350
69	4412	11345
70	4562	11502
71	4671	11549
72	4739	11491
73	4810	11440
74	4881	11390
75	4948	11330
76	5041	11326
77	5112	11273
78	5159	11167
79	5221	11095
80	5270	10995
81	5314	10888
82	5360	10786
83	5420	10711
84	5491	10660
85	5563	10609
86	5630	10548
87	5691	10478
88	5752	10405
89	5807	10325
90	5864	10247
91	5920	10168
92	5986	10105
93	6056	10050
94	6114	9976
95	6172	9901
96	6238	9840
97	6301	9773
98	6358	9698
99	6419	9629
100	6491	9576
101	6562	9521
102	6622	9451
103	6691	9394
104	6805	9398
105	6892	9362
106	6950	9288
107	7008	9214
108	7069	9145
109	7129	9074
110	7192	9006
111	7253	8937
112	7310	8862
113	7373	8796
114	7431	8724
115	7494	8657
116	7548	8580
117	7599	8501
118	7650	8422
119	7714	8357
120	7787	8302
121	7842	8228
122	7914	8171
123	7971	8099
124	8036	8036
125	8094	7965
126	8152	7895
127	8208	7824
128	8263	7750
129	8317	7678
130	8374	7607
131	8446	7550
132	8535	7508
133	8598	7443
134	8664	7380
135	8724	7313
136	8784	7245
137	8847	7180
138	8920	7123
139	9011	7080
140	9092	7028
141	9163	6969
142	9230	6906
143	9316	6857
144	9372	6787
145	9435	6721
146	9491	6650
147	9555	6585
148	9645	6537
149	9788	6525
150	9852	6459
151	9937	6407
152	10009	6345
153	10066	6275
154	10116	6200
155	10163	6124
156	10211	6049
157	10263	5976
158	10316	5904
159	10368	5832
160	10416	5758
161	10465	5685
162	10512	5610
163	10566	5540
164	10626	5474
165	10677	5403
166	10730	5333
167	10788	5265
168	10847	5199
169	10902	5130
170	10966	5066
171	11019	4997
172	11064	4924
173	11108	4851
174	11150	4778
175	11193	4706
176	11239	4635
177	11287	4565
178	11332	4494
179	11375	4423
180	11418	4352
181	11459	4281
182	11499	4210
183	11541	4140
184	11583	4069
185	11626	4000
186	11666	3930
187	11709	3861
188	11759	3795
189	11806	3728
190	11853	3661
191	11894	3593
192	11935	3525
193	11976	3457
194	12019	3390
195	12062	3323
196	12103	3256
197	12147	3190
198	12187	3123
199	12228	3057
200	12269	2991
201	12313	2926
202	12354	2860
203	12395	2795
204	12437	2730
205	12477	2665
206	12520	2600
207	12562	2536
208	12605	2472
209	12648	2409
210	12691	2345
211	12739	2283
212	12785	2220
213	12844	2160
214	12896	2099
215	12946	2037
216	12991	1975
217	13038	1913
218	13080	1851
219	13125	1789
220	13172	1728
221	13221	1667
222	13267	1606
223	13310	1544
224	13352	1483
225	13397	1422
226	13442	1362
227	13489	1301
228	13536	1241
229	13581	1181
230	13639	1121
231	13686	1061
232	13731	1001
233	13776	941
234	13821	882
235	13866	822
236	13912	763
237	13954	703
238	13997	644
239	14040	585
240	14083	525
241	14127	467
242	14172	408
243	14219	349
244	14266	291
245	14310	232
246	14354	174
247	14399	116
248	14443	58
249	14484	0
